id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Horizons,Amber Sky,indie pop,hopeful,0.68,116,0.83,0.77,0.31
12,Deep Forest Trail,Evergreen Echo,folk,relaxed,0.33,88,0.74,0.49,0.94
13,City Pulse,Voltage Avenue,electronic,energetic,0.89,140,0.72,0.91,0.08
14,Moonlit Reflections,Silver Tide,ambient,calm,0.24,58,0.63,0.38,0.96
15,Weekend Escape,Coastal Waves,pop,happy,0.79,126,0.87,0.85,0.20
16,Quiet Pages,LoRoom,lofi,focused,0.38,76,0.57,0.59,0.82
17,Fire Within,Iron Horizon,rock,intense,0.95,158,0.46,0.64,0.06
18,Blue Hour Dreams,Velvet Signals,synthwave,moody,0.71,108,0.44,0.70,0.25
19,Sunday Morning Brew,Cafe Collective,jazz,relaxed,0.41,94,0.76,0.57,0.87
20,Mountain Summit,Wild Compass,folk,inspired,0.61,102,0.79,0.65,0.68
